email,name,designation,category,tags,case,source,mobile,reject_reason
acc.wr-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
acc.ws-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc.ya-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc1.bu-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc1.ch-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc1.dh-mh@gov.in,E-mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc1.nd-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acp-ops-north-dl@delhipolice.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
acpbandra.mum@mahapolice.gov.in,BANDRA,"Assistant Commissioner of Police, Bandra Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpborivali.mum@mahapolice.gov.in,acpborivali.mum,"Assistant Commissioner of Police, Borivali Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpchembur.mum@mahapolice.gov.in,acpchembur.mum,"Assistant Commissioner of Police, Chembur Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpdadar.mum@mahapolice.gov.in,acpdadar.mum,"Assistant Commissioner of Police, Dadar Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
acpdahisar.mum@mahapolice.gov.in,"Junction,","Assistant Commissioner of Police, Dahisar Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpdeonar.mum@mahapolice.gov.in,acpdeonar.mum,"Assistant Commissioner of Police, Deonar Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpdindoshi.mum@mahapolice.gov.in,acpdindoshi.mum,"Assistant Commissioner of Police, Dindoshi Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpdiu-west-dl@delhipolice.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
acpkherwadi.mum@mahapolice.gov.in,acpkherwadi.mum,"Assistant Commissioner of Police, Kherwadi Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpmahim.mum@mahapolice.gov.in,MAHIM,"Assistant Commissioner of Police, Mahim Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
acpmulund.mum@mahapolice.gov.in,acpmulund.mum,"Assistant Commissioner of Police, Mulund Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpsamtanagar.mum@mahapolice.gov.in,acpsamtanagar.mum,"Assistant Commissioner of Police, Samata Nagar Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpsantacruz.mum@mahapolice.gov.in,SANTACRUZ,,Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
acptrombay.mum@mahapolice.gov.in,acptrombay.mum,"Assistant Commissioner of Police, Trombay Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
acpvakola.mum@mahapolice.gov.in,acpvakola.mum,"Assistant Commissioner of Police, Vakola Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
acpvikhroli.mum@mahapolice.gov.in,acpvikhroli.mum,"Assistant Commissioner of Police, Vikhroli Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
acpwadala.mum@mahapolice.gov.in,acpwadala.mum,"Assistant Commissioner of Police, Wadala Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
acpyg.mum@mahapolice.gov.in,acpyg.mum,"Assistant Commissioner of Police, Yellow Gate Division",Police/Government,govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
addldgp-cid@tspolice.gov.in,addldgp-cid,,Police/Government,dgp-desk|govt-state|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
adgpcrimes@keralapolice.gov.in,adgpcrimes,,Police/Government,crime-court-beat|dgp-desk|govt-state|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
administrator-dd-dnh@ddd.gov.in,ddd.gov.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
aggarwal.arun@nic.in,Shri Arun Kumar Aggarwal,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
agmcustomer.lhoahm@sbi.co.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
aig.pc@mahapolice.gov.in,20,"Assistant Inspector General, Planning & Coordination",Police/Government,govt-state|ig-desk|police-hq|police-station,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
aigamdmn.dgoffice@mahapolice.gov.in,18,"Assistant Inspector General, Administration, DGP Office",Police/Government,dgp-desk|govt-state|ig-desk|police-hq|police-station|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
aigpestt.dgoffice@mahapolice.gov.in,19,"Assistant Inspector General, Establishment, DGP Office",Police/Government,dgp-desk|govt-state|ig-desk|police-hq|police-station|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
aigpolicy.dgoffice@mahapolice.gov.in,21,"Assistant Inspector General, Policy, DGP Office",Police/Government,dgp-desk|govt-state|ig-desk|police-hq|police-station|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
ajaysancheti@sansad.nic.in,ajaysancheti,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
akash.jaiswal88@nic.in,Shri Akash Kumar Jaiswal,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
anant.athalye@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
anant.kumar43@gov.in,Shri Anant Kumar,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
anil.desai@sansad.nic.in,anil.desai,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
anil.joshi@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
anil.saware@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
anjali.pardeshi@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
anuradha.patil@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
anushri.salavi@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
arunkumar.belgudri@nic.in,BELGUDRI,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
ashok.gaikwad@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
avinash.kanthe@nic.in,24,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
avinash.mate@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
avinash.pathak@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
b.sahoo66@nic.in,Shri Biswanath Sahoo,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
balbir.singh@bschambers.com,balbir.singh,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,dead_domain
bdppgh@mtnl.net.in,bdppgh.org,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
beed@nic.in,COLLECTOR,,Police/Government,govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
bhagwatihospital@yahoo.co.in,E-mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,hard_bounce_other
bharat.naik@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
blmungekar@gamail.com,blmungekar,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,dead_domain
c.paturkar@nic.in,PATURKAR,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
cat-mum@nic.in,S.T.D.,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
cbcidmumaecell@mahapolice.gov.in,Anti Extortion Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
cbcyber@tn.nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,host_not_reachable
cbrceltvm.pol@kerala.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cciu-bih@nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
ccps@blr.vsnl.net.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,host_not_reachable
ccps@kar.nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cgh.rb-mh@nic.in,1,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
ch@vsnl.com,F,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,dead_domain
choudhari.ram@nic.in,8,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
collector-dnh@ddd.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.diu-dd@nic.in,"yahoo.co.in,",,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
collector_thane@yahoo.co.in,COLLECTOR,,Police/Government,govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
collectordiu@yahoo.co.in,COLLECTOR,,Police/Government,govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,hard_bounce_other
collr.pune-mh@gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
coln.goa@nic.in,COLLECTOR,,Police/Government,goa|govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
cols.goa@nic.in,COLLECTOR,,Police/Government,goa|govt-admin|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
contact.kh@relianceada.com,E-mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,dead_domain
cp.mum.addcp.sbcid@mahapolice.gov.in,cp.mum.addcp.sbcid,,Police/Government,dcp-desk|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
cp.mum.dcp.sb1.cid@mahapolice.gov.in,cp.mum.dcp.sb1.cid,,Police/Government,dcp-desk|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
cp.thane.online@mahapolice.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cpc-bom@aij.gov.in,Central,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
crimecomp.pune@nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
crimecyber.pune@nic.in,Email,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
crimehqrs@jkpolce.gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
cs_singh@saraswatbank.com,saraswatbank,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
ctcivilcourtdinsc@indianjudiciary.gov.in,E-mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
cyber-range-ahd@gujarat.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cybercell-shahdara@delhipolice.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cybercell.navimumbai@mahapolice.gov.in,cybercell.navimumbai,,Police/Government,cyber-crime|govt-state|mumbai-press|police-hq|police-special,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cybercrcell-hp@nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
cybercrimechn@yahoo.com,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
dadasaheb.khatal@nic.in,22,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
dattatray.wetkoli@nic.in,ASSISTANT,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
dcbcid.cawc-mum@mahapolice.gov.in,dcbcid.cawc-mum,,Police/Government,dcp-desk|govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
dcm@maharashtra.gov.in,1,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
dcp-newdelhi-dl@nic.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
dcpitnorth-mum@mahapolice.gov.in,dcpitnorth-mum,,Police/Government,dcp-desk|govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
dcppreventive-mum@mahapolice.gov.in,dcppreventive-mum,,Police/Government,dcp-desk|govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
dcpprevintivemumbai@mahapolice.gov.in,dcpprevintivemumbai,,Police/Government,dcp-desk|govt-state|mumbai-press|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
dcpsb1.mum@mahapolice.gov.in,dcpsb1.mum,,Police/Government,dcp-desk|govt-state|police-hq|police-zone,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
dcpstfeow-mum@mahapolice.gov.in,dcpstfeow-mum,,Police/Government,dcp-desk|economic-fraud|govt-state|police-hq|police-special|police-zone,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
dcpwmumbai@mahapolwireless.gov.in,dcpwmumbai,,Police/Government,dcp-desk|govt-state|mumbai-press|police-hq,tarun-thadani,tarun-thadani/Santosh_2.mbm,,dead_domain
dcpwmumbai@mahpolwireless.gov.in,dcpwmumbai,,Police/Government,dcp-desk|govt-state|mumbai-press|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
deepak.joshi59@nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
delhi.ddit.lr.mumbai@incometax.gov.in,delhi.ddit.lr.mumbai,,Police/Government,govt-state|mumbai-press|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
deoram.palaskar@nic.in,OFFICER.,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
deshmuk1@ias.nic.in,nic.in,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
desk.17dgoffice@mahapolice.gov.in,Desk,"Desk 17, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
desk1.dgoffice@mahapolice.gov.in,Desk,"Desk 1, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
desk10.dgoffice@mahapolice.gov.in,Desk,"Desk 10, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
desk11.dgoffice@mahapolice.gov.in,Desk,"Desk 11, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
desk11a.dgoffice@mahapolice.gov.in,Desk,"Desk 11A, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
desk12.dgoffice@mahapolice.gov.in,Desk,"Desk 12, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
desk13.dgoffice@mahapolice.gov.in,Desk,"Desk 13, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
desk14.dgoffice@mahapolice.gov.in,Desk,"Desk 14, DGP Office Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
